type,url,slug,title,category,verdict,action,indexable,body_words,faq_words,original_words,h2_count,visible_verify,verify_total,placeholders,posts,duplicate_of,flags
product,https://nxtsmarthome.com.au/products/nanoleaf-shapes-hexagons-starter-kit-9-panels/,nanoleaf-shapes-hexagons-starter-kit-9-panels,Nanoleaf Shapes Hexagons Starter Kit (9 Panels),lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,559,,,,,,,no pros/cons; 14/14 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/nanoleaf-essentials-matter-led-lightstrip-2m/,nanoleaf-essentials-matter-led-lightstrip-2m,Nanoleaf Essentials Matter LED Lightstrip (2m),lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,522,,,,,,,no pros/cons; 18/18 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/nanoleaf-essentials-matter-smart-bulb-e27/,nanoleaf-essentials-matter-smart-bulb-e27,Nanoleaf Essentials Matter Smart Bulb E27,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,517,,,,,,,no pros/cons; 3/3 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/wiz-smart-led-color-downlight-90mm/,wiz-smart-led-color-downlight-90mm,Wiz Smart LED Color Downlight 90mm,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,489,,,,,,,no pros/cons; 2/16 reviews from sources not allowed; reviews block shown (14)
product,https://nxtsmarthome.com.au/products/aqara-smart-light-switch-h1-eu-no-neutral/,aqara-smart-light-switch-h1-eu-no-neutral,Aqara Smart Light Switch H1 EU (No Neutral),lighting,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,36,,,,,,,no pros/cons; 21/21 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/tp-link-tapo-p110-smart-plug-with-energy-monitoring/,tp-link-tapo-p110-smart-plug-with-energy-monitoring,TP-Link Tapo P110 Smart Plug with Energy Monitoring,energy-and-solar,OK,,yes,,,1023,,,,,,,19/30 reviews from sources not allowed; reviews block shown (11); curated
product,https://nxtsmarthome.com.au/products/tp-link-tapo-p300-smart-wi-fi-power-strip/,tp-link-tapo-p300-smart-wi-fi-power-strip,TP-Link Tapo P300 Smart Wi-Fi Power Strip,energy-and-solar,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,621,,,,,,,no pros/cons; 14/30 reviews from sources not allowed; reviews block shown (16)
product,https://nxtsmarthome.com.au/products/eve-energy-smart-plug-matter-over-thread/,eve-energy-smart-plug-matter-over-thread,Eve Energy Smart Plug (Matter over Thread),energy-and-solar,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,508,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/eve-energy-strip-3-outlet-smart-power-board/,eve-energy-strip-3-outlet-smart-power-board,Eve Energy Strip 3-Outlet Smart Power Board,energy-and-solar,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,32,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/meross-smart-wi-fi-plug-mini-au-mss210/,meross-smart-wi-fi-plug-mini-au-mss210,Meross Smart Wi-Fi Plug Mini AU (MSS210),energy-and-solar,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,39,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/sensibo-power-smart-plug/,sensibo-power-smart-plug,Sensibo Power Smart Plug,energy-and-solar,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,39,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/fibaro-wall-plug-z-wave-plus-au-plug/,fibaro-wall-plug-z-wave-plus-au-plug,Fibaro Wall Plug Z-Wave Plus (AU Plug),energy-and-solar,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,471,,,,,,,no pros/cons; 30/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/switchbot-smart-plug-mini-au/,switchbot-smart-plug-mini-au,SwitchBot Smart Plug Mini AU,energy-and-solar,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,40,,,,,,,no pros/cons; 3/21 reviews from sources not allowed; reviews block shown (18)
product,https://nxtsmarthome.com.au/products/switchbot-curtain-3-motorized-rod-track/,switchbot-curtain-3-motorized-rod-track,SwitchBot Curtain 3 Motorized Rod / Track,energy-and-solar,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,37,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/netatmo-smart-weather-station/,netatmo-smart-weather-station,Netatmo Smart Weather Station,energy-and-solar,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,512,,,,,,,no pros/cons; 4/5 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/shelly-1pm-gen3-wi-fi-power-relay/,shelly-1pm-gen3-wi-fi-power-relay,Shelly 1PM Gen3 Wi-Fi Power Relay,energy-and-solar,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,42,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/shelly-pro-4pm-4-channel-din-rail-relay/,shelly-pro-4pm-4-channel-din-rail-relay,Shelly Pro 4PM 4-Channel DIN Rail Relay,energy-and-solar,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,554,,,,,,,no pros/cons; 16/30 reviews from sources not allowed; reviews block shown (14)
product,https://nxtsmarthome.com.au/products/ecoflow-delta-2-portable-power-station-1024wh/,ecoflow-delta-2-portable-power-station-1024wh,EcoFlow Delta 2 Portable Power Station 1024Wh,energy-and-solar,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,442,,,,,,,no pros/cons; 30/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/anker-solix-c1000-portable-power-station/,anker-solix-c1000-portable-power-station,Anker Solix C1000 Portable Power Station,energy-and-solar,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,462,,,,,,,"no pros/cons; 1/30 reviews from sources not allowed; reviews block shown (29, with score)"
product,https://nxtsmarthome.com.au/products/apple-homepod-mini/,apple-homepod-mini,Apple HomePod mini,entertainment-and-audio,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,475,,,,,,,no pros/cons; 29/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/sonos-era-100-smart-speaker/,sonos-era-100-smart-speaker,Sonos Era 100 Smart Speaker,entertainment-and-audio,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,673,,,,,,,"no pros/cons; reviews block shown (30, with score)"
product,https://nxtsmarthome.com.au/products/sonos-era-300-spatial-audio-speaker/,sonos-era-300-spatial-audio-speaker,Sonos Era 300 Spatial Audio Speaker,entertainment-and-audio,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,609,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/sonos-move-2-portable-smart-speaker/,sonos-move-2-portable-smart-speaker,Sonos Move 2 Portable Smart Speaker,entertainment-and-audio,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,576,,,,,,,"no pros/cons; 7/30 reviews from sources not allowed; reviews block shown (23, with score)"
product,https://nxtsmarthome.com.au/products/sonos-beam-gen-2-compact-smart-soundbar/,sonos-beam-gen-2-compact-smart-soundbar,Sonos Beam (Gen 2) Compact Smart Soundbar,entertainment-and-audio,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,594,,,,,,,no pros/cons; 6/6 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/sonos-arc-premium-smart-soundbar/,sonos-arc-premium-smart-soundbar,Sonos Arc Premium Smart Soundbar,entertainment-and-audio,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,37,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/sonos-sub-mini-wireless-subwoofer/,sonos-sub-mini-wireless-subwoofer,Sonos Sub Mini Wireless Subwoofer,entertainment-and-audio,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,600,,,,,,,no pros/cons; 11/30 reviews from sources not allowed; reviews block shown (19)
product,https://nxtsmarthome.com.au/products/google-nest-audio-smart-speaker/,google-nest-audio-smart-speaker,Google Nest Audio Smart Speaker,entertainment-and-audio,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,562,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/google-nest-hub-2nd-gen-smart-display/,google-nest-hub-2nd-gen-smart-display,Google Nest Hub (2nd Gen) Smart Display,entertainment-and-audio,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,653,,,,,,,no pros/cons; 20/30 reviews from sources not allowed; reviews block shown (10)
product,https://nxtsmarthome.com.au/products/amazon-echo-4th-gen-smart-speaker/,amazon-echo-4th-gen-smart-speaker,Amazon Echo (4th Gen) Smart Speaker,entertainment-and-audio,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,671,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/amazon-echo-show-10-3rd-gen-hd-display/,amazon-echo-show-10-3rd-gen-hd-display,Amazon Echo Show 10 (3rd Gen) HD Display,entertainment-and-audio,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,631,,,,,,,no pros/cons; 30/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/bose-smart-soundbar-ultra/,bose-smart-soundbar-ultra,Bose Smart Soundbar Ultra,entertainment-and-audio,OK,,yes,,,1065,,,,,,,"reviews block shown (30, with score); curated"
product,https://nxtsmarthome.com.au/products/sensibo-sky-smart-air-conditioner-controller/,sensibo-sky-smart-air-conditioner-controller,Sensibo Sky Smart Air Conditioner Controller,climate-and-comfort,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,38,,,,,,,no pros/cons; 17/17 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/sensibo-air-pro-smart-ac-controller-with-air-quality/,sensibo-air-pro-smart-ac-controller-with-air-quality,Sensibo Air PRO Smart AC Controller with Air Quality,climate-and-comfort,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,37,,,,,,,no pros/cons; 5/5 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/sensibo-elements-indoor-air-quality-monitor/,sensibo-elements-indoor-air-quality-monitor,Sensibo Elements Indoor Air Quality Monitor,climate-and-comfort,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,33,,,,,,,no pros/cons; 5/5 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/ecobee-smart-thermostat-premium/,ecobee-smart-thermostat-premium,ecobee Smart Thermostat Premium,climate-and-comfort,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,580,,,,,,,no pros/cons; 13/30 reviews from sources not allowed; reviews block shown (17)
product,https://nxtsmarthome.com.au/products/ecobee-smartsensor-2-pack/,ecobee-smartsensor-2-pack,ecobee SmartSensor 2-Pack,climate-and-comfort,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,531,,,,,,,"no pros/cons; reviews block shown (30, with score)"
product,https://nxtsmarthome.com.au/products/dyson-purifier-hot-cool-formaldehyde-hp09/,dyson-purifier-hot-cool-formaldehyde-hp09,Dyson Purifier Hot+Cool Formaldehyde (HP09),climate-and-comfort,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,35,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/dyson-purifier-cool-autoreact-tp07/,dyson-purifier-cool-autoreact-tp07,Dyson Purifier Cool Autoreact (TP07),climate-and-comfort,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,622,,,,,,,no pros/cons; 22/30 reviews from sources not allowed; reviews block shown (8)
product,https://nxtsmarthome.com.au/products/tado-smart-ac-control-v3/,tado-smart-ac-control-v3,Tado Smart AC Control V3+,climate-and-comfort,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,595,,,,,,,no pros/cons; 25/30 reviews from sources not allowed; reviews block shown (5)
product,https://nxtsmarthome.com.au/products/netatmo-smart-thermostat/,netatmo-smart-thermostat,Netatmo Smart Thermostat,climate-and-comfort,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,31,,,,,,,no pros/cons; 15/15 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/airversa-smart-air-purifier-matter-over-thread/,airversa-smart-air-purifier-matter-over-thread,Airversa Smart Air Purifier (Matter over Thread),climate-and-comfort,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,532,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/switchbot-hub-2-matter-ir-ac-controller/,switchbot-hub-2-matter-ir-ac-controller,SwitchBot Hub 2 (Matter & IR AC Controller),climate-and-comfort,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,493,,,,,,,no pros/cons; 15/15 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/aqara-temperature-and-humidity-sensor-t1/,aqara-temperature-and-humidity-sensor-t1,Aqara Temperature and Humidity Sensor T1,climate-and-comfort,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,601,,,,,,,no pros/cons; 30/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/aqara-hub-m3-matter-zigbee-coordinator/,aqara-hub-m3-matter-zigbee-coordinator,Aqara Hub M3 Matter & Zigbee Coordinator,hubs-and-platforms,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,30,,,,,,,no pros/cons; 9/9 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/aqara-hub-m2-multi-protocol-hub/,aqara-hub-m2-multi-protocol-hub,Aqara Hub M2 Multi-Protocol Hub,hubs-and-platforms,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,36,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/apple-tv-4k-128gb-wi-fi-ethernet-thread/,apple-tv-4k-128gb-wi-fi-ethernet-thread,Apple TV 4K (128GB Wi-Fi + Ethernet Thread),hubs-and-platforms,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,44,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/nabu-casa-home-assistant-yellow-hub-poe/,nabu-casa-home-assistant-yellow-hub-poe,Nabu Casa Home Assistant Yellow Hub (PoE),hubs-and-platforms,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,28,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/nabu-casa-home-assistant-green-plug-and-play-hub/,nabu-casa-home-assistant-green-plug-and-play-hub,Nabu Casa Home Assistant Green Plug-and-Play Hub,hubs-and-platforms,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,35,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/philips-hue-bridge-v2/,philips-hue-bridge-v2,Philips Hue Bridge (V2),hubs-and-platforms,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,509,,,,,,,no pros/cons; 30/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/homey-pro-2023-smart-home-hub/,homey-pro-2023-smart-home-hub,Homey Pro (2023) Smart Home Hub,hubs-and-platforms,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,539,,,,,,,no pros/cons; 3/3 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/samsung-smartthings-station-with-15w-wireless-charger/,samsung-smartthings-station-with-15w-wireless-charger,Samsung SmartThings Station with 15W Wireless Charger,hubs-and-platforms,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,30,,,,,,,no pros/cons; 30/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/aeotec-smart-home-hub-smartthings/,aeotec-smart-home-hub-smartthings,Aeotec Smart Home Hub (SmartThings),hubs-and-platforms,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,593,,,,,,,no pros/cons; 30/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/amazon-echo-hub-8-smart-home-control-panel/,amazon-echo-hub-8-smart-home-control-panel,"Amazon Echo Hub 8"" Smart Home Control Panel",hubs-and-platforms,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,524,,,,,,,no pros/cons; 3/4 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/roborock-s8-maxv-ultra-robot-vacuum-and-mop/,roborock-s8-maxv-ultra-robot-vacuum-and-mop,Roborock S8 MaxV Ultra Robot Vacuum and Mop,robot-vacuums,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,566,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/roborock-qrevo-master-robot-vacuum/,roborock-qrevo-master-robot-vacuum,Roborock Qrevo Master Robot Vacuum,robot-vacuums,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,38,,,,,,,no pros/cons; 21/21 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/roborock-q5-pro-self-emptying-robot-vacuum/,roborock-q5-pro-self-emptying-robot-vacuum,Roborock Q5 Pro+ Self-Emptying Robot Vacuum,robot-vacuums,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,25,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/dreame-l20-ultra-robot-vacuum-with-mopextend/,dreame-l20-ultra-robot-vacuum-with-mopextend,Dreame L20 Ultra Robot Vacuum with MopExtend,robot-vacuums,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,526,,,,,,,no pros/cons; 1/16 reviews from sources not allowed; reviews block shown (15)
product,https://nxtsmarthome.com.au/products/dreame-l10s-ultra-robot-vacuum-and-mop/,dreame-l10s-ultra-robot-vacuum-and-mop,Dreame L10s Ultra Robot Vacuum and Mop,robot-vacuums,OK,,yes,,,1207,,,,,,,12/30 reviews from sources not allowed; reviews block shown (18); curated
product,https://nxtsmarthome.com.au/products/dreame-x40-ultra-flagship-robot-vacuum/,dreame-x40-ultra-flagship-robot-vacuum,Dreame X40 Ultra Flagship Robot Vacuum,robot-vacuums,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,565,,,,,,,"no pros/cons; 1/30 reviews from sources not allowed; reviews block shown (29, with score)"
product,https://nxtsmarthome.com.au/products/ecovacs-deebot-x2-omni-square-robot-vacuum/,ecovacs-deebot-x2-omni-square-robot-vacuum,Ecovacs Deebot X2 Omni Square Robot Vacuum,robot-vacuums,OK,,yes,,,1170,,,,,,,"7/30 reviews from sources not allowed; reviews block shown (23, with score); curated"
product,https://nxtsmarthome.com.au/products/ecovacs-deebot-t30-pro-omni-robot-vacuum/,ecovacs-deebot-t30-pro-omni-robot-vacuum,Ecovacs Deebot T30 Pro Omni Robot Vacuum,robot-vacuums,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,608,,,,,,,"no pros/cons; 3/30 reviews from sources not allowed; reviews block shown (27, with score)"
product,https://nxtsmarthome.com.au/products/irobot-roomba-combo-j9-robot-vacuum-mop/,irobot-roomba-combo-j9-robot-vacuum-mop,iRobot Roomba Combo j9+ Robot Vacuum & Mop,robot-vacuums,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,523,,,,,,,"no pros/cons; 6/30 reviews from sources not allowed; reviews block shown (24, with score)"
product,https://nxtsmarthome.com.au/products/irobot-roomba-combo-i5-robot-vacuum/,irobot-roomba-combo-i5-robot-vacuum,iRobot Roomba Combo i5+ Robot Vacuum,robot-vacuums,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,531,,,,,,,no pros/cons; 30/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/eufy-clean-x10-pro-omni-robot-vacuum/,eufy-clean-x10-pro-omni-robot-vacuum,eufy Clean X10 Pro Omni Robot Vacuum,robot-vacuums,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,667,,,,,,,no pros/cons; 28/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/narwal-freo-x-ultra-robot-vacuum-mop/,narwal-freo-x-ultra-robot-vacuum-mop,Narwal Freo X Ultra Robot Vacuum & Mop,robot-vacuums,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,581,,,,,,,no pros/cons; 11/30 reviews from sources not allowed; reviews block shown (19)
product,https://nxtsmarthome.com.au/products/xiaomi-robot-vacuum-x20-self-cleaning/,xiaomi-robot-vacuum-x20-self-cleaning,Xiaomi Robot Vacuum X20+ Self-Cleaning,robot-vacuums,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,557,,,,,,,no pros/cons; 30/30 reviews from sources not allowed
product,https://nxtsmarthome.com.au/products/wiz-smart-colour-bulb-a60-b22/,wiz-smart-colour-bulb-a60-b22,WiZ Smart Colour Bulb A60 B22,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,662,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/philips-hue-discover-outdoor-floodlight/,philips-hue-discover-outdoor-floodlight,Philips Hue Discover Outdoor Floodlight,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,547,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/wiz-colour-smart-downlight/,wiz-colour-smart-downlight,Wiz Colour Smart Downlight,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,400,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/nanoleaf-essentials-smart-bulb-e27-2-pack/,nanoleaf-essentials-smart-bulb-e27-2-pack,Nanoleaf Essentials Smart Bulb E27 2 Pack,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,559,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/laser-smart-home-6m-rgb-light-strip-tv-sync-kit-alexa-google-assistant/,laser-smart-home-6m-rgb-light-strip-tv-sync-kit-alexa-google-assistant,Laser Smart Home 6M RGB Light Strip & TV Sync Kit Alexa Google Assistant,lighting,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,24,,,,,,,no bestFor; no pros/cons
product,https://nxtsmarthome.com.au/products/nanoleaf-sense-smart-wireles-switch/,nanoleaf-sense-smart-wireles-switch,Nanoleaf Sense+ Smart Wireless Switch,lighting,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,25,,,,,,,no bestFor; no pros/cons
product,https://nxtsmarthome.com.au/products/govee-outdoor-spot-light-2-pack/,govee-outdoor-spot-light-2-pack,Govee Outdoor Spot Light 2-Pack,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,551,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/philips-hue-akari-downlight/,philips-hue-akari-downlight,Philips Hue Akari Downlight,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,586,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/govee-smart-light-bulb-b22/,govee-smart-light-bulb-b22,Govee Smart Light Bulb B22,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,577,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/mirabella-genio-9w-led-wi-fi-dimmable-downlight/,mirabella-genio-9w-led-wi-fi-dimmable-downlight,Mirabella Genio 9W LED Wi-Fi Dimmable Downlight,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,549,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/tapo-l530b-tp-link-smart-wi-fi-light-bulb/,tapo-l530b-tp-link-smart-wi-fi-light-bulb,Tapo L530B TP-Link Smart Wi-Fi Light Bulb,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,613,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/kogan-smarterhome-smart-touch-single-light-switch/,kogan-smarterhome-smart-touch-single-light-switch,Kogan SmarterHome Smart Touch Single Light Switch,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,545,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/govee-smart-colour-downlight/,govee-smart-colour-downlight,Govee Smart Colour Downlight,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,524,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/connect-smart-rgb-led-light-bulb-b22/,connect-smart-rgb-led-light-bulb-b22,Connect Smart RGB LED Light Bulb B22,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,508,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/eufy-e22-permanent-outdoor-lights-15m/,eufy-e22-permanent-outdoor-lights-15m,Eufy E22 Permanent Outdoor Lights 15m,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,516,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/govee-wi-fi-bluetooth-smart-light-bulb-e27/,govee-wi-fi-bluetooth-smart-light-bulb-e27,Govee Wi-Fi & Bluetooth Smart Light Bulb E27,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,606,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/tp-link-tapo-smart-wi-fi-light-strip/,tp-link-tapo-smart-wi-fi-light-strip,TP-Link Tapo Smart Wi-Fi Light Strip,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,474,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/philips-hue-lily-xl-outdoor-led-spot-light/,philips-hue-lily-xl-outdoor-led-spot-light,Philips Hue Lily XL Outdoor LED Spot Light,lighting,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,587,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/tapo-p110-smart-energy-monitoring/,tapo-p110-smart-energy-monitoring,Tapo P110 Smart Energy Monitoring,energy-and-solar,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,486,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/tuya-zigbee-smart-circuit-breaker/,tuya-zigbee-smart-circuit-breaker,TUYA ZigBee Smart Circuit Breaker,energy-and-solar,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,19,,,,,,,no bestFor; no pros/cons
product,https://nxtsmarthome.com.au/products/tp-link-tapo-smart-wi-fi-power-strip/,tp-link-tapo-smart-wi-fi-power-strip,TP-Link Tapo Smart Wi-Fi Power Strip,energy-and-solar,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,582,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/powersensor-energy-and-solar-monitoring-solution/,powersensor-energy-and-solar-monitoring-solution,Powersensor Energy and Solar Monitoring Solution,energy-and-solar,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,453,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/tp-link-tapo-p110m-mini-smart-wi-fi-plug/,tp-link-tapo-p110m-mini-smart-wi-fi-plug,TP-Link Tapo P110M Mini Smart Wi-Fi Plug,energy-and-solar,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,552,,,,,,,no pros/cons
product,https://nxtsmarthome.com.au/products/smart-power-strip-with-6-outlets/,smart-power-strip-with-6-outlets,Smart Power Strip with 6 Outlets,energy-and-solar,THIN - EMPTY,"Keep noindex and out of listings, or write curated editorial",no,,,23,,,,,,,no bestFor; no pros/cons
product,https://nxtsmarthome.com.au/products/wiz-smart-plug/,wiz-smart-plug,WiZ Smart Plug,energy-and-solar,THIN,"Write curated editorial: 300+ words with bestFor, pros and cons",no,,,488,,,,,,,no pros/cons
